3.4,2.575,3.275,3.25,2.45,3.5333,2.75,3.2833,3.1,2.5667
3.825,3.6,3.725,3.925,3.45,3.9667,3.75,3.8,3.95,3.55
3.55,3.0167,3.5833,3.7833,3.1833,3.775,2.925,3.575,3.625,3.475
3.8833,3.05,3.7667,3.7333,3.2167,3.75,2.75,3.625,3.675,3.35
3.825,3.3,3.65,3.95,3.775,3.875,3.725,3.7,3.925,3.8
3.775,2.725,3.4,3.35,3.025,3.7,2.625,3.3,3.475,2.925
3.4167,2.55,2.6167,2.85,2.25,3.3,2.45,2.575,2.9,2.4
3.3333,2.7333,3.9167,3.5333,3.1,3.475,2.975,3.85,3.5,3.025
3.75,2.8,3.125,3.575,2.825,3.675,2.925,3.15,3.575,3.225
2.9833,1.9,2.5833,2.8833,1.6833,3.075,1.725,2.75,3.175,2.225
3.7833,2.5833,3.5167,3.6833,3.1333,3.875,2.575,3.275,3.575,2.925
3.575,3.275,2.625,3.5,2.6,3.675,2.8,2.45,3.4,2.825
3.725,3.25,3.475,3.9,3.3,3.85,3.4,3.4333,3.8833,3.5333
3.325,2.625,3.675,3.45,3.05,3.475,2.675,3.65,3.5,2.925
3.45,2.4,3.65,3.675,2.5,3.625,2.4,3.1,3.675,2.65
3.675,3.3,3.6,3.3,2.6,3.875,3.5,3.225,2.75,2.475
3.7,2.6833,3.0167,3.5667,3,3.525,2.95,2.9,3.2,2.9
3.5,2.825,3.175,3.625,2.25,3.725,2.425,3.075,3.325,2.9
3.475,2.3,2.75,3.1,1.85,3.3,1.625,2.375,2.65,2.1
